Placement,New Placement, Spend (11 May to 31 Aug) - SGD ,Impression/Click,Channel,Brand/Tactical,Channel2,Search Approach - Brand/Compet/Generic,Media Objective,"Audience 
(Publisher v Exchange)",Prospect / Remarket,Format
AOD - Prospecting - ROE,AOD - Prospecting - ROE," $3,536.91 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display
"AOD - Prospecting - Top Sites for Banking & Finance, Investments, Real Estate and Luxury Shopping categories","AOD - Prospecting - Top Sites for Banking & Finance, Investments, Real Estate and Luxury Shopping categories"," $3,478.53 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display
AOD - Remarketing - Display and Facebook Ad Exchange,AOD - Remarketing - Display and Facebook Ad Exchange," $2,322.05 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Remarket,Display
"AOD - Top Site - Banking and Finance, Investment, Local & Business News, Luxury Shopping and Dining","AOD - Top Site - Banking and Finance, Investment, Local & Business News, Luxury Shopping and Dining"," $2,992.46 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display
Facebook - CTW - Target Affluent (Image Ad) - Risk Profile,Facebook - CTW - Target Affluent (Image Ad) - Risk Profile," $1,500.01 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social
Facebook - CTW - Target Affluent (Image Ad) - Webinar,Facebook - CTW - Target Affluent (Image Ad) - Webinar," $1,499.90 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social
Facebook - CTW - Target Affluent (Image Ad) - WWW,Facebook - CTW - Target Affluent (Image Ad) - WWW," $1,500.01 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social
Facebook - R&F - Target Affluent - Sequential Image Ads - Forbes U30,Facebook - R&F - Target Affluent - Sequential Image Ads - Forbes U30," $2,000.01 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social
Facebook - R&F - Target Affluent (Carousel Ad),Facebook - R&F - Target Affluent (Carousel Ad)," $4,000.00 ",Click,Facebook,Brand,Facebook - Brand,,Branding,Publisher,Prospect,Social
Facebook - Target Affluent (Clicks-To-Website Ad),Facebook - Target Affluent (Clicks-To-Website Ad)," $9,749.76 ",Click,Facebook,Tactical,Facebook - Tactical,,Acquisition,Publisher,Prospect,Social
FB - CTW (Carousel Ad) - AU,FB - CTW (Carousel Ad) - AU," $4,153.26 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social
FB - CTW (Video Ad) Forbes Videos - AU,FB - CTW (Video Ad) Forbes Videos - AU," $19,840.74 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social
Business Times.com - Homepage - Expandable Super Leaderboard (>),Business Times.com - Homepage - Expandable Super Leaderboard (>), $-   ,Click,Business Times,Brand,Business Times - Brand,,Branding,Publisher,Prospect,Display
Criteo - Remarketing,Criteo - Remarketing," $4,474.50 ",Click,Criteo,Tactical,Criteo - Tactical,,Acquisition,Exchange,Remarket,Display
ANZ Priority Banking,DBS Wealth Always On, $44.86 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
Asset_Management,DBS Wealth Always On, $44.86 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Brand,DBS Wealth Always On, $77.48 ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM
Citigold,DBS Wealth Always On," $5,269.00 ",Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
Commodity,DBS Wealth Always On, $427.21 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
DBS Treasures Credit Card,DBS Wealth Always On, $57.49 ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM
DBS Treasures Travel,DBS Wealth Always On, $5.71 ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM
Deposit,DBS Wealth Always On, $6.14 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Derivatives,DBS Wealth Always On," $5,424.38 ",Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Equity,DBS Wealth Always On, $-   ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Forex,DBS Wealth Always On, $267.36 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Future_Trading,DBS Wealth Always On," $1,090.75 ",Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Gold,DBS Wealth Always On, $74.35 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
HSBC Premier Banking,DBS Wealth Always On," $1,168.64 ",Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
