MCF Channel Grouping Path,Source/Medium Path,Conversions,Conversion Value
Direct > Email > Direct > Direct > Direct > (unavailable) > (unavailable) > Direct > Email > Direct > Direct > Direct > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Direct > (unavailable),(direct) / (none) > kfjcls-eypaxbedm_heroimage_nov16_edm / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > hellobarv2 / saa > saa / banner > (direct) / (none) > eyap7interactaedm_tyohero_dec16_edm / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > hellobartestv3 / saa,1,"SGD1,093.20"
Direct > Email > Direct > Display (impression) > Display (impression) > Direct > Direct,(direct) / (none) > enews / email > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none),1,SGD742.20
Direct > Email > Email > Display (impression) > Display (impression) > Direct,(direct) / (none) > puedm_bkkhero_nov16_edm / email > puedm_morefare_nov16_edm / email > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),1,SGD771.70
Direct > Display (impression) > Direct > Paid Search > Organic Search > Direct > Direct > Paid Search > Paid Search > Paid Search > Paid Search > Organic Search > Paid Search > Organic Search > Direct > Direct > Direct > Direct > Display (impression) > Display (impression) > Direct > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / organic > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,"SGD1,666.90"
Direct > Display (impression) > Direct > Direct > Direct > Direct > Paid Search > (unavailable) > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > hellobarv1 / saa > (direct) / (none),1,"SGD1,029.40"
Direct > Display (impression) > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Direct > Display (impression) > Paid Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display (impression) > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),1,SGD395.00
Direct > Display (impression) > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),1,SGD632.80
Direct > Display (impression) > Direct > Direct > Direct > Direct > Direct > Display (impression) > Direct > Direct > Display > Display (impression) > Display (impression) > Display (impression) > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > dbm / cpm > dfa / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),1,"SGD1,574.00"
Direct > Display (impression) > Direct > Direct > Direct > Direct > (unavailable) > Direct > Direct > Display (impression) > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Display (impression) > Direct > Direct > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > hellobarv2 / saa > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,"SGD5,458.40"
Direct > Display (impression) > Direct > Direct > Direct > Direct > Display (impression) > Direct > Direct > Direct > Direct > Direct > Display (impression) > Direct > Direct > (unavailable) > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > hellobarv1 / saa > (direct) / (none),1,SGD546.50
Direct > Display (impression) > Direct > Direct > Direct > Direct > Referral > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > m.mg.mail.yahoo.com / referral > (direct) / (none) > (direct) / (none),1,SGD386.80
Direct > Display (impression) > Direct > Direct > Direct > Display (impression) > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Email > Display (impression) > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > (unavailable) > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > kf_redeemnow / email > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > hellobarv2 / saa > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,"SGD4,529.00"
Direct > Display (impression) > Direct > Direct > Direct > Display (impression) > Direct > Display (impression) > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),1,SGD861.20
Direct > Display (impression) > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Referral > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Referral > Organic Search > Display > Display > Direct > Display > Display (impression) > Display > Display (impression) > Direct > (unavailable) > Organic Search,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > swoodoo.com / referral > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > deref-gmx.net / referral > google / organic > dfa / cpm > dfa / cpm > (direct) / (none) > dfa / cpm > dfa / cpm (impression) > dfa / cpm > dfa / cpm (impression) > (direct) / (none) > hellobarv1 / saa > google / organic,1,"SGD3,630.60"
Direct > Display (impression) > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Display > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Display (impression) > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none),1,"SGD1,694.30"
Direct > Display (impression) > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),1,"SGD1,038.70"
Direct > Display (impression) > Direct > Direct > Display (impression) > Direct > Direct > (unavailable) > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > hellobartestv1 / saa > (direct) / (none) > (direct) / (none),1,"SGD1,566.00"
Direct > Display (impression) > Direct > Direct > Display (impression) > Direct > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Paid Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,"SGD1,604.00"
Direct > Display (impression) > Direct > Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression),(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression),1,SGD684.30
Direct > Display (impression) > Direct > (unavailable) > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > hellobarv2 / saa > (direct) / (none) > (direct) / (none),1,SGD377.10
Direct > Display (impression) > Direct > Display (impression) > Direct > Direct > Display (impression) > Direct > Direct > Direct > Display (impression) > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),1,SGD302.00
Direct > Display (impression) > Direct > Display (impression) > Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Direct > Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > (unavailable) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Display (impression) > Direct > Direct > Referral > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > hellobarv2 / saa > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > skyscanner.com.sg / referral > (direct) / (none),1,"SGD2,567.00"
Direct > Display (impression) > Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Paid Search > Display (impression) > Paid Search > Organic Search > Direct > Display (impression) > Display (impression) > Paid Search > Organic Search > Direct > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > google / cpc > dfa / cpm (impression) > google / cpc > google / organic > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > google / cpc > google / organic > (direct) / (none) > (direct) / (none),1,SGD260.50
Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dfa / cpm (impression) > (direct) / (none),1,"SGD6,025.50"
Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Direct > (unavailable),(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > hellobarv1 / saa,1,SGD464.60
Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dbm / cpm (impression) > (direct) / (none),1,SGD813.50
Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Direct > Organic Search > Display > Display > Display > Display > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display > Display > Display > Display > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > google / organic > dfa / cpm > dfa / cpm > dfa / cpm > dfa / cpm > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm > dfa / cpm > dfa / cpm > dfa / cpm > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,SGD950.40
Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,"SGD1,190.80"
Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,SGD607.70
Direct > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Referral > Display (impression) > Display (impression) > Display (impression) > Direct > Referral,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > skyscanner.net / referral > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > skyscanner.net / referral,1,SGD391.20
